Nom du substituant chimique,Main,Type,Pattern,Ligand
Hyrdo,Hyrdo,SMARTS,[H],X
Boron,Boron,SMILES,B,X
Ethylene,Ethylene,SMARTS,[#6]=[#6],X
Carbon Monoxide,Carbon Monoxide,SMILES,CO,X
Fluoride,Fluoride,SMILES,F,X
Chloride,Chloride,SMILES,Cl,X
Nitrogen,Nitrogen,SMILES,N,X
Carbon,Carbon,SMILES,C,X
Bromide,Bromide,SMILES,Br,X
Phosphorus,Phosphorus,SMILES,P,X
Octanoic acid,Octanoic acid,SMARTS,[CX4][CX3](=O)[OX2H1],X
Alkenyle,Alkene,SMARTS,[CX3]=[CX3],X
Alkynyl,Alkyne,SMARTS,[CX2]#[CX2],X
Phenyl,Benzene derivative,SMARTS,c1ccccc1,X
hydroxyle,Alcohol,SMARTS,[OX2H1],X
Ketone,Ketone,SMARTS,[CX3H0]=[O],X
Aldehydes,Aldehydes,SMARTS,[CX3H1]=[O],X
Carbonate Ester,Carbonate,SMARTS,[OX2][CX3](=[O])[OX2],X
Carboxylate,Carboxylate,SMARTS,[CX3](=O)[O-],X
carboxylic acid,Carboxyl,SMARTS,[CX3](=O)[OX2H1],X
Carboalkoxy,Ester,SMARTS,[CX3](=O)[OX2H0],X
Hydroperoxy,Hydroperoxide,SMARTS,[OX2][OX2H1],X
Peroxy,Peroxide,SMARTS,[OX2][OX2],X
Ether,Ether,SMARTS,[OX2],X
Hemiacetal,Hemiactal,SMARTS,[CX4H1]([OX2])([OH]),X
Hemiketal,Hemiketal,SMARTS,[CX4]([OX2])([OH]),X
Acetal,Acetal,SMARTS,[CX4H1]([OX2])([OX2]),X
Ketal,Ketal,SMARTS,[CX4]([OX2])([OX2]),X
Orthoester,Orthoester,SMARTS,[CX4]([OX2])([OX2])([OX2]),X
Orthocarbonate ester,Orthocarbonate ester,SMARTS,C,X
Carboxylic anhydride,Organic acid anhydride,SMARTS,[CX3](=O)[OX2][CX3](=O),X
Carboxamide,Amide,SMARTS,[CX3](=O)[NX3],X
Amidine,Amidine,SMARTS,[CX3](=[NX2])[NX3],X
Guanidine,Guanidine,SMARTS,[NX3][CX3](=[NX2])[NX3],X
ammonia,Amines,SMARTS,[NXH2],X
Primary amine,Amines,SMARTS,[NX3H2],X
Secondary amine,Amines,SMARTS,[NX3H1],X
Tertiary amine,Amines,SMARTS,[NX3H0],X
Hydrazone,Amines,SMARTS,[CX3]=[NX2][NH2],X
Primary ketimine,Imine,SMARTS,[CX3]=[NH],X
Secondary ketimine,Imine,SMARTS,[CX3]=[NX2H0],X
Primary aldimine,Imine,SMARTS,[CX3H1]=[NH],X
Secondary aldimine,Imine,SMARTS,[CX3H1]=[NX2H0],X
Imide,Imide,SMARTS,[CX3](=O)[NX3][CX3](=O),X
Diimide,Azo,SMARTS,[NX2]=[NX2],X
Cyanate,Cyanate,SMARTS,[OX2][CX2](#N),X
Isocyanate,Cyanate,SMARTS,[NX2]=[CX2](=O),X
Nitrate,Nitrate,SMARTS,[OX2][N+X3](=O)[O-],X
Nitrile,Nitrile,SMARTS,[CX2](#N),X
Isonitrile,Nitrile,SMARTS,[N+X2]#[C-],X
Nitrosooxy,Nitrite,SMARTS,[OX2][NX2](=O),X
Nitro,Nitro,SMARTS,[N+X3](=O)[O-],X
Nitroso,Nitroso,SMARTS,[NX2](=O),X
Oxime,Oxime,SMARTS,[CX3]=[NX2][OX2H1],X
Pyridyl,Pyridine,SMARTS,[CX3]1=[C][C]=[N][C]=[C]1,X
Carbamate,Carbamate ester,SMARTS,[OX2][CX3](=O)[NX3],X
Sulfhydryl,Thiol,SMARTS,[SX2H],X
Sulfide,Sulfide,SMARTS,[SX2H0],X
Disulfide,Disulfide,SMARTS,[SX2H0][SX2H0],X
Sulfinyl,Sulfoxide,SMARTS,[SX3H0](=O),X
Sulfonyl,Sulfone,SMARTS,[SX4H0](=O)(=O),X
Sulfino,Sulfinic acid,SMARTS,[SX3H0](=O)[OX2H1],X
Sulfo,Sulfonic acid,SMARTS,[SX4H0](=O)(=O)[OX2H1],X
Sulfo,Sulfonate ester,SMARTS,[SX4H0](=O)(=O)[OX2H0],X
Thiocyanate,Thiocyanate,SMARTS,[SX2][CX2](#N),X
Isothiocyanate,Thiocyanate,SMARTS,[NX2]=[CX2](=S),X
Carbonothioyl,Thioketone,SMARTS,[CX3H0](=S),X
Carbonothioyl,Thial,SMARTS,[CX3H1](=S),X
