Abbreviation,SMILES
[MPO3],CP(=O)(O)[O-] 
[ISB],CC(C)C(=O)[O-]
[NEtSO3],C(C[S](=O)(=O)[O-])N
[C7F15CO2],C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-]
[Ac],CC(=O)[O-]
[TMA],CC(C)(C)C(=O)[O-]
[ACE],CC1=CC(=O)[N-]S(=O)(=O)O1
[TFES],[S](C(C(F)(F)F)(F)F)(=O)(=O)[O-]
[Lac],CC(C(=O)[O-])O
[Pro],C1CC(NC1)C(=O)[O-]
[Sar],CNCC(=O)[O-] 
[Gly],C(C(=O)[O-])N
[pFAP],[P-](F)(F)(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)C(C(C(F)(F)F)(F)F)(F)F
[eFAP],[P-](F)(F)(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)C(C(F)(F)F)(F)F
[Lys],C(CCN)CC(C(=O)[O-])N
[IAAc],N(CC(=O)[O-])CC(O)=O
[SAC],C1=CC=C2C(=C1)C(=NS2(=O)=O)[O-] 
[IoIoPO2],[P]([O-])(=O)(C(C)CC(C)(C)C)C(C)CC(C)(C)C
[Ala],C(C(=O)[O-])(C)N
[bFAP],[P-](F)(F)(C(C(C(F)(F)C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)C(F)(F)F)(F)F)(F)F)(F)C(C(C(F)(F)C(F)(F)F)(F)F)(F)F
[Ile],C(C(=O)[O-])(N)C(CC)C
[LEV],CC(=O)CCC(=O)[O-]
[doc],CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-]
[SUC],C(CC(=O)[O-])C(=O)N
[Br],[Br-]
[IDA],C(C(=O)[O-])NCC(=O)[O-]
[BF4],F[B-](F)(F)F
[Cl],[Cl-]
[DCA],N#C[N-]C#N
[NO3],O=[N+]([O-])[O-]
[PF6],F[P-](F)(F)(F)(F)F
[SCN],S=C=[N-]
[TCB],N#C[B-](C#N)(C#N)C#N
[C(CN)3],N#C[C-](C#N)C#N
[HSO4],OS(=O)(=O)[O-] 
[FSA],O=S(F)(=O)[N-]S(=O)(=O)F
[Tf2N],C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-]
[BETA],O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
[FOR],O=C[O-]
[TFA],[O-]C(=O)C(F)(F)F
[C3F7CO2],[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)F
[MeSO4],[O-]S(=O)(=O)OC
[EtSO4],O=S([O-])(=O)OCC
[MDEGSO4],[O-]S(=O)(=O)OCCOCCOC
[MeSO3],O=S(C)(=O)[O-]
[TfO],O=S([O-])(=O)C(F)(F)F
[NfO],[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
[TDfO],O=S([O-])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
[TOS],C1=CC(=CC=C1C)S(=O)(=O)[O-]
[C12PhSO3],C1(CCCCCCCCCCCC)C=CC(=CC=1)S(=O)(=O)[O-]
[DMPO4],[O-]P(=O)(OC)OC
[DEPO4],O=P([O-])(OCC)OCC
[DBPO4],O=P([O-])(OCCCC)OCCCC
[methide],O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F
[4-NO2PhO],C1=CC(=CC=C1[N+](=O)[O-])[O-] 
[PhO],C1=CC=C(C=C1)[O-] 
[4-MeOPhO],COC1=CC=C(C=C1)[O-] 
[MeOEtSO4],COCCOS(=O)(=O)[O-] 
[Im],C1=CN=C[N-]1
[2-Op],C1=CC=NC(=C1)[O-]
[Arg],C(CC(C(=O)[O-])N)CN([H])C(N)=N
[Prop],CCC(=O)[O-] 
[His],C1=C(NC=N1)CC(C(=O)[O-])N 
[Leu],CC(C)CC(C(=O)[O-])N
[Met],CSCCC(C(=O)[O-])N
[Val],CC(C)C(C(=O)[O-])N
[Gln],C1=NC(=C[N]1)CC(C([O-])=O)N
[Glu],C(CC(=O)O)C(C(=O)[O-])N 
[Tyr],C1=CC(=CC=C1CC(C(=O)[O-])N)O 
[Tz],C1=NN=C[N-]1 
[Pyrz],C1=C[N-]N=C1 
[Threo],CC(C(C(=O)[O-])N)O 
[C(CN)2],C(=C=[N-])C#N
[MABA],CNCCCC(=O)[O-] 
[GABA],C(CC(=O)[O-])CN
