mpK,Molecule1,Molecule2,YoN
487.85,Nc1[nH+]cnc2c1ncn2C1OC(CO)C(O)C1O,O=C([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1
451.6,[NH3+]c1ccccc1,O=C([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1
480.4,[NH3+]c1ccccc1O,O=C([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1
452.0,COc1ccccc1[NH3+],O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-],1
426.8,COc1cccc([NH3+])c1,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-],1
455.9,[NH3+]c1ccc(F)cc1,O=C([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1
466.7,[NH3+]c1ccc(Cl)cc1,O=C([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1
479.8,Nc1ccccc1[NH3+],O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-],1
270.15,C[C+](O)O,O=S(=O)([O-])O,1
428.15,[NH3+]c1ccccc1O,CC[PH](=O)[O-],1
325.15,C[C+](O)O,O=S(=O)([O-])F,1
418.65,CC(=O)OCC[N+](C)(C)C,O=C([O-])c1ccc(O)cc1O,1
375.0,CC(=O)OCC[N+](C)(C)C,O=C([O-])C(O)C(O)C(=O)O,1
472.5,NS(=O)(=O)c1ccc([NH3+])cc1,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-],1
407.15,C[NH+](C)CC[NH+](C)C,Fc1c(F)c(F)c([C-](F)F)c(F)c1F,1
417.15,CC([NH3+])c1ccccc1,CCP(=O)([S-])Oc1ccccc1,1
442.4,Cc1ccccc1C(C)[NH3+],CCP(=O)([S-])Oc1ccccc1,1
417.65,CC([NH3+])c1ccc(F)cc1,CCP(=O)([S-])Oc1ccccc1,1
304.6,[NH3+]Cc1ccccc1,O=C([O-])c1cc(S(=O)(=O)[O-])ccc1O,1
535.5,COc1ccc(C=Cc2ccc3ccccc3[n+]2C)cc1O,O=S(=O)([O-])c1ccc(Cl)cc1,1
463.65,COCC12CCC(OC)C34c5cc(OC)ccc5C(=O)C(C(OC)C13)C4[NH2+]C2,O=C([O-])C(=O)O,1
488.15,NC(=S)NN=Cc1cccc[nH+]1,[O-][Cl+3]([O-])([O-])[O-],1
491.15,C[P+](C)(C)[P+](C)(C)C,O=S(=O)([O-])C(F)(F)F,1
439.65,CC(C)[P+](C(C)C)(C(C)C)[P+](C)(C)C,O=S(=O)([O-])C(F)(F)F,1
341.15,CC[P+](CC)(CC)[P+](C)(C)C,O=S(=O)([O-])C(F)(F)F,1
374.15,CC(C)(C)c1cc2ccccc2c[te+]1,F[B-](F)(F)F,1
456.15,CC(C)(C)c1cc2ccccc2c[se+]1,F[B-](F)(F)F,1
424.0,Nc1cc[nH+]cc1,O=C([O-])c1ccc([N+](=O)[O-])cc1Cl,1
437.0,Nc1cc[nH+]cc1,O=C([O-])c1cc([N+](=O)[O-])ccc1Cl,1
431.0,Nc1cc[nH+]cc1,O=C([O-])c1cc(Cl)ccc1[N+](=O)[O-],1
417.0,Nc1cc[nH+]cc1,O=C([O-])c1ccc(Cl)cc1[N+](=O)[O-],1
445.0,C[n+]1cn2ccccc2n1,F[B-](F)(F)F,1
501.0,c1cc2c(cc1C[NH2+]CC[NH2+]Cc1ccc3c(c1)OCO3)OCO2,O=[N+]([O-])[O-],1
481.65,COC(=O)c1ccc[n+]2c1SC1C3CCC(C(C(=O)OC)C3C(=O)OC)C12,[O-][Cl+3]([O-])([O-])[O-],1
518.0,Cc1ccc(S(=O)(=O)N2CC[NH2+]CC2)cc1,O=C([O-])C(F)(F)F,1
450.0,Oc1cc[nH+]cc1,[O-][I+2]([O-])[O-],1
449.15,Nc1[nH]nn[nH+]1,[O-][Cl+3]([O-])([O-])[O-],1
378.65,CC[NH+](C(C)C)C(C)C,[BH3-]P(=O)(O)C(c1ccccc1)(c1ccccc1)c1ccccc1,1
473.0,COc1ccc([NH3+])cc1,O=C([O-])c1cc(Cl)c(Cl)cc1C(=O)O,1
453.15,Cc1nn2c([nH+]1)CCCc1sccc1-2,O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,1
438.9,N#Cc1cc[nH+]cc1,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-],1
502.5,O=C(O)c1cc[nH+]cc1,O=C([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1
518.55,Nc1cccc(N)[nH+]1,O=C([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1
404.5,CC(C)(C)N1CCC[NH+]1C(C)(C)C,O=S(=O)([O-])O,1
418.5,CC(C)(C)N1CCC[NH+]1C(C)(C)C,Cc1ccc(S(=O)(=O)[O-])cc1,1
346.0,CC(C)(C)P(n1nc[n+]2c1CCCC2)C(C)(C)C,O=S(=O)([O-])C(F)(F)F,1
449.0,Cc1c(C)[n+](C(C)(C)C)cn1C(C)(C)C,O=S(=O)([O-])C(F)(F)F,1
471.15,CN(C)c1cc[nH+]cc1,O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,1
437.0,Cc1sc[n+](-c2ccc(Br)cc2)c1C,F[P-](F)(F)(F)(F)F,1
498.15,Cc1cc(C)[n+](NC(=O)c2c(C)noc2N)c(C)c1,[O-][Cl+3]([O-])([O-])[O-],1
330.65,C[P](C)(C)[P+](c1ccccc1)c1ccccc1,O=S(=O)([O-])C(F)(F)F,1
490.15,C=CCC1C2CC3CN1C[N+]1(CCCCC31)C2,[O-][Cl+3]([O-])([O-])[O-],1
425.15,Cc1ccc([N+]2=Cc3ccccc3NC2C(C)c2ccccc2)cc1,O=S(=O)([O-])C(F)(F)F,1
387.15,CC1=[N+](C2CCCCC2)C(C)Nc2ccccc21,O=S(=O)([O-])C(F)(F)F,1
450.0,OC1CCN2Cc3ccccc3[NH+]=C12,O=[N+]([O-])[O-],1
387.65,CC(C)C1C(C)[S+]2c3ccccc3[S+]1c1ccccc12,[O-][Cl+3]([O-])([O-])[O-],1
410.025,CCCCC1C(CCCC)[S+]2c3ccccc3[S+]1c1ccccc12,[O-][Cl+3]([O-])([O-])[O-],1
449.15,C1=C([S+]2c3ccccc3Oc3ccccc32)CCCC1,[O-][Cl+3]([O-])([O-])[O-],1
428.65,C1=C([S+]2c3ccccc3Oc3ccccc32)CCCCC1,[O-][Cl+3]([O-])([O-])[O-],1
456.9,C1=CCCC([S+]2c3ccccc3Oc3ccccc32)=CCC1,[O-][Cl+3]([O-])([O-])[O-],1
435.65,CC(C)=C(C)[S+]1c2ccccc2Sc2ccccc21,[O-][Cl+3]([O-])([O-])[O-],1
362.15,CCCn1cc[n+](C)c1,O=S(=O)([O-])c1cccc(P(c2ccccc2)c2ccccc2)c1,1
326.0,CCn1cc[n+](C)c1,F[As-](F)(F)(F)(F)F,1
