compound_smiles,viscosity_value,temperature_K,pressure_kPa
C[C@H](N)C(=O)[O-].Cn1cc[n+](CCO)c1,9.9643,293.15,100.0
CCOC(=O)[C@@H]([NH3+])Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,9.8,298.1,101.325
CC(Oc1ccc(Cl)cc1Cl)C(=O)[O-].CCCCCCCCC[N+]1(C)CCCCC1,9.7,313.15,101.325
CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,9.7,308.15,101.325
CCCn1cc[n+](C)c1C.O=[N+]([O-])c1cn[n-]c1,9.6,278.15,101.325
CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,9.5,223.2,100.0
CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,9.5,313.15,101.325
C=CC(=O)NC(C)(C)CS(=O)(=O)[O-].Cc1c(CCO)sc[n+]1Cc1ccccc1,9.491,293.15,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],9.448,283.15,101.325
C[N+](C)(C)CCO.O=S(=O)([O-])CC(O)CNC(CO)(CO)CO,9.4,348.15,100.0
CCCCCCCCn1cc[n+](CCC#N)c1.O=C([O-])c1cccc(S(=O)(=O)O)c1,9.3,303.15,101.325
CCCC[N+]1=CN(C=C1)C=C.C(C(=O)[O-])N,9.3,303.15,101.3
COS(=O)(=O)[O-].Cn1cc[n+](Cc2ccccc2)c1,9.116,293.15,101.325
N[C@@H](CO)C(=O)[O-].C(CCC)N1C=[N+](C=C1)C=C,9.1,313.15,101.3
CCCCCC[n+]1ccn(CCC#N)c1.[Br-],9.03,308.15,101.325
CCCCCCCCn1cc[n+](CCC#N)c1.[Cl-],8.98,323.15,101.325
Cn1cc[n+](CCO)c1.N[C@@H](CO)C(=O)[O-],8.8134,303.15,100.0
CCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,8.7,239.2,100.0
CCCCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,8.7,243.2,100.0
C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,8.6,308.15,100.0
CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,8.6,303.15,101.325
CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,8.5,303.15,100.0
CCCCCCCCCCn1cc[n+](CCC#N)c1.CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-],8.5,313.15,101.325
CC(Oc1ccc(Cl)cc1Cl)C(=O)[O-].CCCCCCCCCC[N+]1(C)CCCCC1,8.43,313.15,101.325
